high_g_x,high_g_y,high_g_z,high_g_y,time,high_g_y,high_g_y,accel,high_g_y,alt,high_g_y,velo,high_g_y,high_g_y,bmx_x_accel,bmx_y_accel,bmx_z_accel,cpu_temp,real_temp,baro_height,gps_height,gps_satCount,gps_lat,gps_lon,gps_ascent,gps_groundSpeed,telemetrum_board.arm_status,telemetrum_board.current,telemetrum_board.voltage,stratologger_board.arm_status,stratologger_board.current,stratologger_board.voltage,camera_board.arm_status,camera_board.current,camera_board.voltage,v3_rail_voltage,v5_rail_voltage,mainBatteryVoltage,mainBatteryTemperature
-0.117679797,-0.313812792,0.196133003,-0.313812792,163.4680328,-0.313812792,-0.313812792,-0.313812792,-0.313812792,18862.79492,-0.313812792,425.5419006,-0.313812792,-0.313812792,-1.745381236,-6.611872673,-0.356493235,54.0719986,41.57213974,18862.79492,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.076079711,8.210354805,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.196133003,-0.706078827,0.156906396,-0.706078827,163.6589355,-0.706078827,-0.706078827,-0.706078827,-0.706078827,18852.25195,-0.706078827,425.5419006,-0.706078827,-0.706078827,-1.857234001,-11.15656281,-1.942768455,54.0719986,41.54753876,18852.25195,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,38.17439651,4.135778427,1,0.076079711,8.210354805,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
0.078453198,-0.313812792,-0.078453198,-0.313812792,163.8252869,-0.313812792,-0.313812792,-0.313812792,-0.313812792,18809.65234,-0.313812792,425.5419006,-0.313812792,-0.313812792,2.297467232,-8.384768486,-3.226383448,54.61000061,41.57397079,18809.65234,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,38.17439651,4.135778427,1,0.076079711,8.210354805,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.196133003,-0.784532011,0.431492597,-0.784532011,164.0181732,-0.784532011,-0.784532011,-0.784532011,-0.784532011,18814.0332,-0.784532011,425.5419006,-0.784532011,-0.784532011,0.43544811,-11.78281879,1.525862813,54.0719986,41.57141876,18814.0332,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,38.17439651,4.135778427,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.156906396,-0.666852176,0.353039414,-0.666852176,164.1825256,-0.666852176,-0.666852176,-0.666852176,-0.666852176,18788.66602,-0.666852176,425.5419006,-0.666852176,-0.666852176,0.117834173,-11.7104435,0.844577909,54.0719986,41.56343842,18788.66602,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,38.17439651,4.135778427,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
0,-0.392266005,0.470719188,-0.392266005,164.3430023,-0.392266005,-0.392266005,-0.392266005,-0.392266005,18782.51172,-0.392266005,455.1288757,-0.392266005,-0.392266005,0.126806319,-9.607373238,3.157596827,54.0719986,41.58561707,18782.51172,20195.21094,11,32.9426384,-106.9050064,455.1288757,14.44200039,1,38.17439651,4.135778427,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.078453198,-0.235359594,0.784532011,-0.235359594,164.5000305,-0.235359594,-0.235359594,-0.235359594,-0.235359594,18782.30859,-0.235359594,455.1288757,-0.235359594,-0.235359594,1.099386811,-5.851633072,4.584167957,54.61000061,41.58718872,18782.30859,20195.21094,11,32.9426384,-106.9050064,455.1288757,14.44200039,1,38.17439651,4.135778427,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
0.235359594,-0.392266005,0.980665028,-0.392266005,164.6955566,-0.392266005,-0.392266005,-0.392266005,-0.392266005,18758.66797,-0.392266005,455.1288757,-0.392266005,-0.392266005,4.953820229,-8.107230186,7.761503696,54.0719986,41.60210419,18758.66797,20195.21094,11,32.9426384,-106.9050064,455.1288757,14.44200039,1,38.47857666,4.14320612,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.274586201,-0.588398993,0.706078827,-0.588398993,164.8533173,-0.588398993,-0.588398993,-0.588398993,-0.588398993,18743.60156,-0.588398993,455.1288757,-0.588398993,-0.588398993,-0.493467987,-11.0829916,5.849838734,54.0719986,41.56880188,18743.60156,20195.21094,11,32.9426384,-106.9050064,455.1288757,14.44200039,1,38.47857666,4.14320612,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.353039414,-0.353039414,0.666852176,-0.353039414,165.0442047,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18724.30078,-0.353039414,455.1288757,-0.353039414,-0.353039414,-2.853740215,-5.831295967,3.606802225,53.5340004,41.5835228,18724.30078,20195.21094,11,32.9426384,-106.9050064,455.1288757,14.44200039,1,37.56604004,4.134615898,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.353039414,-0.353039414,0.862985194,-0.353039414,165.2104797,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18719.13086,-0.353039414,455.1288757,-0.353039414,-0.353039414,-2.521172762,-7.370317936,5.077635765,54.61000061,41.57593536,18719.13086,20195.21094,11,32.94265747,-106.9049301,455.1288757,14.2159996,1,37.56604004,4.134615898,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-1.059118152,-0.706078827,0.353039414,-0.706078827,165.4000092,-0.706078827,-0.706078827,-0.706078827,-0.706078827,18704.31836,-0.706078827,455.1288757,-0.706078827,-0.706078827,-6.026888847,-10.171422,2.84775877,54.0719986,41.58287048,18704.31836,20195.21094,0,32.94265747,-106.9049301,455.1288757,14.2159996,1,37.79417419,4.13590765,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.627625585,-0.627625585,0.313812792,-0.627625585,165.558548,-0.627625585,-0.627625585,-0.627625585,-0.627625585,18686.32617,-0.627625585,455.1288757,-0.627625585,-0.627625585,-3.725234509,-10.679245,1.745381236,54.0719986,41.55820465,18686.32617,20195.21094,0,32.94265747,-106.9049301,455.1288757,14.2159996,1,37.79417419,4.13590765,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.117679797,-0.156906396,0.666852176,-0.156906396,165.7491913,-0.156906396,-0.156906396,-0.156906396,-0.156906396,18672.625,-0.156906396,455.1288757,-0.156906396,-0.156906396,-1.351803184,-5.554356098,1.852448821,54.61000061,41.58241272,18672.625,20195.21094,0,32.94265747,-106.9049301,455.1288757,14.2159996,1,33.28219223,4.134357452,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.235359594,-0.431492597,0.196133003,-0.431492597,165.907135,-0.431492597,-0.431492597,-0.431492597,-0.431492597,18650.80078,-0.431492597,455.1288757,-0.431492597,-0.431492597,-1.770503283,-7.698100567,0.157311603,53.5340004,41.56631851,18650.80078,20195.21094,0,32.94265747,-106.9049301,455.1288757,14.2159996,1,33.28219223,4.134357452,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.313812792,-0.392266005,0.156906396,-0.392266005,166.0707245,-0.392266005,-0.392266005,-0.392266005,-0.392266005,18640.94727,-0.392266005,455.1288757,-0.392266005,-0.392266005,-1.100583076,-8.264541626,-2.4123106,54.0719986,41.57299042,18640.94727,20195.21094,0,32.94265747,-106.9049301,455.1288757,14.2159996,1,33.28219223,4.134357452,1,0,8.191026688,1,352.6020508,4.986661434,3.321628809,5.033323288,14.50017738,36.06534576
-0.313812792,-0.627625585,-0.196133003,-0.627625585,166.268158,-0.627625585,-0.627625585,-0.627625585,-0.627625585,18649.91016,-0.627625585,455.1288757,-0.627625585,-0.627625585,0.325987935,-7.824906826,-4.273731709,54.0719986,41.57436371,18649.91016,20195.21094,0,32.94267654,-106.9048538,455.1288757,14.82699966,1,33.28219223,4.134357452,1,0,8.191026688,1,418.4735107,4.981320858,3.321628809,5.033323288,14.50017738,36.06534576
-0.196133003,-0.235359594,-0.078453198,-0.235359594,166.4589081,-0.235359594,-0.235359594,-0.235359594,-0.235359594,18633.28711,-0.235359594,455.1288757,-0.235359594,-0.235359594,0.517393708,-5.828305244,-5.004662514,54.0719986,41.57488632,18633.28711,20195.21094,11,32.94267654,-106.9048538,455.1288757,14.82699966,1,37.89556503,4.136166096,1,0,8.191026688,1,418.4735107,4.981320858,3.321628809,5.033323288,14.50017738,36.06534576
0,-0.588398993,-0.431492597,-0.588398993,166.6907654,-0.588398993,-0.588398993,-0.588398993,-0.588398993,18594.25977,-0.588398993,455.1288757,-0.588398993,-0.588398993,-0.963010252,-8.195157051,-8.991285324,54.0719986,41.56723404,18594.25977,20195.21094,11,32.94267654,-106.9048538,455.1288757,14.82699966,1,37.89556503,4.136166096,1,0,8.191026688,1,418.4735107,4.981320858,3.321945906,5.037279129,14.53811646,36.04245758
-0.196133003,-0.353039414,-0.078453198,-0.353039414,166.8802643,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18549.26953,-0.353039414,455.1288757,-0.353039414,-0.353039414,-2.03847146,-8.525332451,-4.702002048,54.0719986,41.55964279,18549.26953,20195.21094,11,32.94267654,-106.9048538,455.1288757,14.82699966,1,37.89556503,4.136166096,1,0,8.205225945,1,418.4735107,4.981320858,3.321945906,5.037279129,14.53811646,36.04245758
0,-0.941438377,-0.196133003,-0.941438377,167.0783386,-0.941438377,-0.941438377,-0.941438377,-0.941438377,18551.3457,-0.941438377,455.1288757,-0.941438377,-0.941438377,-1.890730023,-11.91919518,-4.888024807,54.0719986,41.56389618,18551.3457,20195.21094,11,32.94267654,-106.9048538,455.1288757,14.82699966,1,37.77243042,4.138950825,1,0,8.205225945,1,418.4735107,4.981320858,3.321945906,5.037279129,14.53811646,36.04245758
0.117679797,-0.313812792,0.039226599,-0.313812792,167.3249054,-0.313812792,-0.313812792,-0.313812792,-0.313812792,18533.5625,-0.313812792,455.1288757,-0.313812792,-0.313812792,2.71855998,-8.26513958,-1.426571012,54.0719986,41.56520462,18533.5625,20195.21094,11,32.94269562,-106.9047775,455.1288757,14.7159996,1,37.77243042,4.138950825,1,0,8.205225945,1,418.4735107,4.981320858,3.319937229,5.0314188,14.51241589,36.01778412
